id,studios,director
44042,Hololive Production,
38249,J.C.Staff,Sakurai Hiroaki
46095,Wit Studio,Ezaki Shinpei
32843,Satelight,Ono Katsumi
10087,ufotable,Iwakami Atsuhiro
10162,Production I.G,Matsushita Keiko
10165,Kyoto Animation,Senami Riri
10030,J.C.Staff,Kasai Kenichi
40421,Lerche,Yamaguchi Hikaru
38826,CoMix Wave Films,Shinkai Makoto
37515,Kinema Citrus,Tsukushi Akihito
170,Toei Animation,Nishizawa Nobutaka
22535,Madhouse,Shimizu Kenichi
30230,Production I.G,Masuhara Mitsuyuki
5,Bones,Maseba Yutaka
38691,TMS Entertainment,Iino Shinya
9756,Shaft,Iwakami Atsuhiro
35677,Kyoto Animation,Senami Riri
392,Studio Pierrot,Cook Justin
35851,P.A. Works,Horikawa Kenji
467,Production I.G,Maseba Yutaka
35843,Bandai Namco Pictures,Fujita Youichi
7791,Kyoto Animation,Hatta Youko
38731,Madhouse,Masuhara Mitsuyuki
5028,SynergySP,Fukushima Toshinori
31812,A-1 Pictures,Sabat Christopher
42923,Bones,Utsumi Hiroko
19363,A-1 Pictures,Deai Kotomi
33486,Bones,Nagasaki Kenji
34537,Science SARU,Choi Eun-Young
41402,Bandai Namco Pictures,Moriwaki Makoto
440,J.C.Staff,Kobayashi Noriko
41457,A-1 Pictures,Nakayama Nobuhiro
18617,Actas,Mizushima Tsutomu
32937,Studio Deen,Kanasaki Takaomi
12531,Tezuka Productions,Maruyama Masao
35608,Kyoto Animation,Ishihara Tatsuya
137,Nippon Animation,Hiramitsu Takuya
48926,OLM,Watanabe Ayumu
2246,Toei Animation,Shibata Hiroaki
32937,Studio Deen,Kanasaki Takaomi
41402,Bandai Namco Pictures,Moriwaki Makoto
10271,Madhouse,Satou Yuuzou
39565,Bones,Nagasaki Kenji
38234,Toei Animation,Ootsuka Takashi
41457,A-1 Pictures,Nakayama Nobuhiro
338,Tokyo Movie Shinsha,Dezaki Osamu
25681,TMS Entertainment,Daichi Akitarou
9989,A-1 Pictures,Saitou Shunsuke
19363,A-1 Pictures,Deai Kotomi
585,Studio Ghibli,Miyazaki Hayao
1033,Madhouse,Maki Taro
37450,CloverWorks,Masui Souichi
37055,Nut,Uemura Yutaka
13125,A-1 Pictures,Ochikoshi Tomonori
572,Topcraft,Takahata Isao
40729,TMS Entertainment,Moriyama You
36538,Shuka,Oomori Takahiro
12531,Tezuka Productions,Maruyama Masao
36456,Bones,Nagasaki Kenji
39112,,
37520,Tezuka Productions,Yamamoto Kouji
185,Gallop,Masaki Shinichi
36990,SILVER LINK.,Kawatsura Shinya
440,J.C.Staff,Kobayashi Noriko
23623,SILVER LINK.,Gou Fumiyuki
40435,B.CMAY PICTURES,Mo Xiang Tong Xiu
35838,White Fox,Ozaki Takaharu
23847,feel.,Oikawa Kei
18115,A-1 Pictures,Ochikoshi Tomonori
35608,Kyoto Animation,Ishihara Tatsuya
24415,Production I.G,Morihiro Fumi
31240,White Fox,Watanabe Masaharu
40542,J.C.Staff,Sakurai Hiroaki
42250,Bones,Kikuchi Toshihiro
486,A.C.G.T.,Nakamura Ryuutarou
34537,Science SARU,Choi Eun-Young
31812,A-1 Pictures,Sabat Christopher
23327,Bones,Watanabe Shinichiro
512,Studio Ghibli,Miyazaki Hayao
39783,Bibury Animation Studios,Kaori
235,TMS Entertainment,Shizuno Koubun
34822,feel.,Kishi Seiji
16894,Production I.G,Morihiro Fumi
20651,Brain's Base,Oomori Takahiro
17739,Shaft,Shinbou Akiyuki
38668,MAPPA,Hayashi Yuuichirou
5420,Production I.G,Wada Jouji
32188,White Fox,Itou Kanako
11917,SynergySP,Ishida Tooru
10863,White Fox,Iwasa Gaku
28805,Studio Chizu,Saitou Yuuichirou
30503,Bones,Tamura Koutarou
265,Madhouse,Nanba Hitoshi
33323,TMS Entertainment,Hanae
777,Madhouse,Tonokatsu Hideki
16664,Studio Ghibli,Nishimura Yoshiaki
42941,Studio Kai,Masuo Masashi
37962,TROYCA,Bessho Makoto
34534,Shuka,Aimer
36275,Shuka,Yasuda Rei
34036,TMS Entertainment,Aoyama Gosho
31715,A-1 Pictures,Wakabayashi Shin
20,Studio Pierrot,Kobayashi Noriko
10408,Brain's Base,Miyake Masanori
35466,TMS Entertainment,Yui
11977,Shaft,Iwakami Atsuhiro
38408,Bones,Nagasaki Kenji
34076,P.A. Works,Yoshihara Masayuki
44200,Bones,Nagasaki Kenji
28223,Madhouse,Tachikawa Yuzuru
264,Madhouse,Nishimura Satoshi
6811,Sunrise,Tsuruoka Youta
2402,Mushi Production,Dezaki Osamu
5690,J.C.Staff,Yamamoto Kouji
40935,Orange,YOASOBI
1430,Tokyo Movie Shinsha,Maseba Yutaka
2418,Bones,Minami Masahiko
329,Sunrise,Taniguchi Gorou
40911,Production I.G,Sabat Christopher
57,Madhouse,Cook Justin
5040,Madhouse,Satou Yuuzou
40615,Studio Hibari,Oohashi Akiyo
38993,Shin-Ei Animation,Akagi Hiroaki
40907,Toei Animation,Hatano Morio
36946,Toei Animation,Sabat Christopher
22297,ufotable,Iwakami Atsuhiro
523,Studio Ghibli,Miyazaki Hayao
37514,Kinema Citrus,Kojima Masayuki
721,Hal Film Maker,Chung Jin Ho
22507,SynergySP,Hashimoto Mitsuo
513,Studio Ghibli,Takahata Isao
36296,feel.,Oikawa Kei
3091,Production I.G,Morishita Katsuji
40174,MAPPA,Sakai Munehisa
39792,Science SARU,Choi Eun-Young
523,Studio Ghibli,Miyazaki Hayao
44200,Bones,Nagasaki Kenji
36275,Shuka,Yasuda Rei
264,Madhouse,Nishimura Satoshi
38668,MAPPA,Hayashi Yuuichirou
18195,J.C.Staff,Yamakawa Yoshiki
1889,Studio Deen,Kon Chiaki
186,Pastel,Masaki Shinichi
42941,Studio Kai,Masuo Masashi
10408,Brain's Base,Miyake Masanori
30503,Bones,Tamura Koutarou
11843,Sunrise,Takamatsu Shinji
40615,Studio Hibari,Oohashi Akiyo
11977,Shaft,Iwakami Atsuhiro
16894,Production I.G,Morihiro Fumi
17389,Studio Pierrot,Iwanaga Akira
232,Madhouse,Maseba Yutaka
38408,Bones,Nagasaki Kenji
22145,A-1 Pictures,Abe Noriyuki
3226,SynergySP,Fukushima Toshinori
239,Gonzo,Maeda Mahiro
121,Bones,Cook Justin
5460,Tokyo Movie Shinsha,Suwa Michihiko
11239,Shaft,Shinbou Akiyuki
36371,Production I.G,Kuroki Rui
41169,Sunrise,Kyougoku Takahiko
558,Studio Hibari,Kasai Kenichi
33051,Sunrise,Nagai Tatsuyuki
4224,J.C.Staff,Kasai Kenichi
33206,Kyoto Animation,Takemoto Yasuhiro
2890,Studio Ghibli,Suzuki Toshio
37171,Lerche,Higa Yuuji
20899,David Production,Mizusaki Junpei
40815,Ajia-Do,Hongou Mitsuru
35857,Telecom Animation Film,Yano Yuuichirou
45,Gallop,Furuhashi Kazuhiro
627,Studio Hibari,Kasai Kenichi
35848,Trigger,Wakabayashi Hiromi
