id,en_title,season_year,episodes_count,episode_duration,format_destination,release_status
3609,Kikou Kantai Dairugger XV,1982,52,25,tv,finished
1351,Angel Cop,1989,6,30,ova,finished
23151,Shounen Hollywood: Holly Stage for 49,2014,13,23,tv,finished
577,Kagihime Monogatari: Eikyuu Alice Rinbukyoku,2006,13,24,tv,finished
3810,Mori no Youki na Kobito-tachi: Belfy to Lillibit,1980,26,20,tv,finished
3811,Hoshi no Oujisama: Petit Prince,1978,35,24,tv,finished
9792,Licca-chan Fushigi na Fushigi na Yunia Monogatari,1990,2,27,ova,finished
2133,Mari Iyagi,,1,80,movie,finished
,Donaiyanen Yadon,,1,4,music,finished
3875,Mahou Tsukai Sally 2,1989,88,20,tv,finished
2334,Anime Sanjushi: Aramis no Bouken,1989,1,45,movie,finished
3877,Sasurai no Shoujo Nell,1979,26,24,tv,finished
3915,Time Bokan,1975,61,24,tv,finished
2851,Ninku (Movie),1995,1,26,movie,finished
16936,Boku no Imouto wa "Osaka Okan": Haishin Gentei Osaka Okan.,2012,1,3,ona,finished
36875,Akuma no Memumemu-chan,2018,1,6,ona,finished
8939,Bohemian Rhapsody,,1,6,music,finished
28537,Garo: Guren no Tsuki,2015,23,24,tv,finished
30155,Hoshi no Kirby: Taose!! Koukaku Majuu Ebizou,,1,9,ona,finished
3866,Kuro ga Ita Natsu,1990,1,65,movie,finished
4091,Kagami no Genon,2004,1,6,movie,finished
4154,Time Bokan Series: Yattodetaman,1981,52,20,tv,finished
31631,Monster Hunter Stories: RIDE ON,2016,75,24,tv,finished
1673,Bomberman B-Daman Bakugaiden V,1999,50,26,tv,finished
4208,Taiyo no Shisha Tetsujin 28-go,1980,51,23,tv,finished
,Ultimate Senpai,,1,4,music,finished
5136,Flag Director's Edition: Issenman no Kufura no Kiroku,,1,100,movie,finished
4012,First Squad,,1,3,music,finished
4091,Kagami no Genon,2004,1,6,movie,finished
4154,Time Bokan Series: Yattodetaman,1981,52,20,tv,finished
30137,Big Order OVA,2015,1,23,ova,finished
31631,Monster Hunter Stories: RIDE ON,2016,75,24,tv,finished
1673,Bomberman B-Daman Bakugaiden V,1999,50,26,tv,finished
6809,Toshi Densetsu Monogatari Hikiko,2008,1,40,ova,finished
21775,Yugami-kun ni wa Tomodachi ga Inai,,2,1,ona,finished
4208,Taiyo no Shisha Tetsujin 28-go,1980,51,23,tv,finished
5136,Flag Director's Edition: Issenman no Kufura no Kiroku,,1,100,movie,finished
5469,Birthday Boy,,1,10,movie,finished
5496,Storm Rider: Clash of the Evils,,1,95,movie,finished
4411,Mirai Robo Daltanias,1979,47,24,tv,finished
5662,Suteneko Tora-chan,1947,1,24,movie,finished
5673,Apfelland Monogatari,,1,90,movie,finished
33192,Robot Town Sagami 2028,2016,1,8,ona,finished
5165,Macross 25th Anniversary Special Eizou: All That VF Macross F Version,2008,1,3,ona,finished
1460,Uchuu no Kishi Tekkaman Blade II,1994,6,30,ova,finished
6496,Cutey Honey Flash: The Movie,1997,1,38,movie,finished
32947,Battery,2016,11,24,tv,finished
39872,Chiruri,,1,8,ona,finished
39018,Right Places: Sono Toki, Boku no Irubeki Basho,,1,5,ona,finished
6872,Cyborg 009 (Movie),1966,1,65,movie,finished
7170,Kataku,,1,19,movie,finished
34239,Mutsugo to Ouma no Monogatari,2016,6,2,ona,finished
7273,Nido to Mezamenu Komori Uta,,1,27,ova,finished
7366,Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e,,1,100,movie,finished
7376,Kurumiwari Ningyou,1979,1,81,movie,finished
20855,Saikin Osen,,1,4,music,finished
19235,Dance, Dance, Dance,,1,4,music,finished
4807,Mashin Eiyuuden Wataru 2,1990,46,20,tv,finished
7547,Komadori Eiga: Komaneko,2006,5,12,movie,finished
7664,Nils no Fushigi na Tabi (Movie),1981,1,82,movie,finished
34489,Cinderella Girls Gekijou: 5 Shuunen Kinen Short Anime,2016,1,3,ona,finished
16702,Doraemon: Nobita to Mirai Noto,,1,16,ova,finished
8149,Gegege no Kitarou (1968 Movie),1968,1,60,movie,finished
8157,Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha,1997,1,23,movie,finished
8491,Digimon Savers 3D: Digital World Kiki Ippatsu!,2006,1,7,movie,finished
8548,Dr. Slump Movie 8: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...,1994,1,25,movie,finished
9163,Attack No.1 (1970),1970,1,65,movie,finished
9242,Nine: Original Han,1983,1,70,movie,finished
27997,OVA Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,2014,2,25,ova,finished
1848,Haou Taikei Ryuu Knight,1994,52,25,tv,finished
1351,Angel Cop,1989,6,30,ova,finished
15423,Antinotice,,1,3,music,finished
9795,Atashin'chi Movie,2003,1,95,movie,finished
9796,Atashin'chi 3D Movie: Jounetsu no Chou Chounouryoku Haha Dai Bousou,2010,1,40,movie,finished
5197,Dragon League,1993,39,20,tv,finished
9951,Jiu Se Lu,,1,26,movie,finished
9421,SMAnime,,3,2,ova,finished
1868,Gin'iro no Olynsis,2006,12,23,tv,finished
35251,Sengoku Night Blood,2017,12,23,tv,finished
10342,Tetsuwan Atom: Uchuu no Yuusha,1964,1,77,movie,finished
766,Kishin Houkou Demonbane,2004,1,24,ova,finished
36040,Knights of the Zodiac: Seitoushi Seiya Part 2,2020,6,23,ona,finished
30155,Hoshi no Kirby: Taose!! Koukaku Majuu Ebizou,,1,9,ona,finished
683,Tenshi no Shippo Specials,2002,2,23,ova,finished
11561,Sougen no Ko Tenguri,,1,22,movie,finished
36875,Akuma no Memumemu-chan,2018,1,6,ona,finished
5395,Nekketsu Saikyou Go-Saurer,1993,51,23,tv,finished
37740,Bai Ye Ling Long,,25,15,ona,finished
12279,Kinnikuman II Sei Muscle: Ninjin Soudatsu sen! Choujin Daisensou,2002,1,40,movie,finished
37268,Z/X: Code Reunion,2019,12,24,tv,finished
16319,Asako Get You!!,2013,2,3,ova,finished
12663,Patalliro! Stardust Keikaku,1983,1,48,movie,finished
439,RG Veda,1991,2,45,ova,finished
37481,Ongaku Shoujo (TV),2018,12,24,tv,finished
3820,Space Station No. 9,,1,5,music,finished
11543,Hate You,,1,3,music,finished
756,School Days ONA,2005,1,21,ona,finished
5891,Kousoku Denjin Albegus,1983,45,25,tv,finished
5997,Sabu to Ichi Torimono Hikae,1968,52,22,tv,finished
18637,Astro Boy Tetsuwan Atom Tokubetsu-hen: Ivan no Wakusei - Robot to Ningen no Yuujou,2003,1,20,movie,finished
19233,Around,,1,3,movie,finished
37308,K: Seven Stories - The Idol K,2018,6,7,special,finished
1220,Hoshizora Kiseki,2006,1,27,ona,finished
6117,Gokujou!! Mecha Mote Iinchou,2009,51,24,tv,finished
30246,Space☆Dandy 2 Picture Drama,2014,3,6,special,finished
4012,First Squad,,1,3,music,finished
1223,Ame to Shoujo to Watashi no Tegami,2005,1,7,ona,finished
20469,Himeyuri,2012,1,31,movie,finished
37154,Grimms Notes The Animation,2019,12,24,tv,finished
8939,Bohemian Rhapsody,,1,6,music,finished
30686,Hoopa no Odemashi Daisakusen!!,2015,6,1,special,finished
56,Avenger,2003,13,24,tv,finished
2127,Chouja Raideen,1996,38,25,tv,finished
30923,Colorful Ninja Iromaki,2016,1,24,movie,finished
2128,Yuusha Raideen,1975,50,20,tv,finished
38749,BLADE RUNNER — BLACK LOTUS,2021,13,22,tv,releasing
2153,Saint Beast: Kouin Jojishi Tenshi Tan,2007,13,25,tv,finished
39063,Fairy Gone,2019,12,24,tv,finished
2162,Koutetsu Sangokushi,2007,25,24,tv,finished
6899,Stitch!: Itazura Alien no Daibouken,2009,29,25,tv,finished
31454,Gundam: G no Reconguista - From the Past to the Future,2015,1,9,special,finished
25943,Hacka Doll,2014,2,2,special,finished
37784,Tokino Kousa,2018,1,1,special,finished
36858,Usuzumizakura -GARO-,2018,1,82,movie,finished
37530,Miyako,,1,3,ona,finished
34048,Seoul-yeok,,1,92,movie,finished
