id,en_title,season_year,episodes_count,episode_duration,format_destination,release_status
3647,Tokyo Revengers,2021,24,24,tv,finished
2101,Uchuu Kyoudai,2012,99,24,tv,finished
2692,Steins;Gate 0,2018,23,24,tv,finished
3613,Tensei Shitara Slime Datta Ken 2nd Season Part 2,2021,12,24,tv,finished
14438,Wu Liuqi: Xuanwu Guo Pian,,10,15,ona,finished
3246,Kaze ga Tsuyoku Fuiteiru,2018,23,24,tv,finished
3247,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,2019,12,24,tv,finished
13706,Modao Zushi 2,,8,24,ona,finished
5927,K-ON! Movie,2011,1,110,movie,finished
2768,3-gatsu no Lion,2016,22,25,tv,finished
3430,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,2020,13,26,tv,finished
3421,Yahari Ore no Seishun Love Come wa Machigatteiru. Kan,2020,12,24,tv,finished
3480,Golden Kamuy 3,2020,12,24,tv,finished
8915,Mushishi: Hihamukage,2014,1,45,special,finished
6082,Mahou Shoujo Madoka☆Magica: Hangyaku no Monogatari,2013,1,118,movie,finished
12208,Kamisama Hajimemashita: Kako-hen,2015,4,30,ova,finished
2171,Chihayafuru 2,2013,25,22,tv,finished
12936,Given: Uragawa no Sonzai,2021,1,20,ova,finished
5721,Gintama: Shinyaku Benizakura-hen,2010,1,95,movie,finished
7243,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,2019,1,91,movie,finished
3055,Houseki no Kuni,2017,12,24,tv,finished
6697,Saenai Heroine no Sodatekata Fine,2019,1,114,movie,finished
4443,Saiki Kusuo no Ψ-nan,2016,120,5,tv short,finished
3846,86: Eighty Six Part 2,2021,12,24,tv,releasing
3809,Kimetsu no Yaiba: Yuukaku-hen,2021,7,23,tv,finished
3364,Fruits Basket: 1st Season,2019,25,24,tv,finished
12109,Shingeki no Kyojin Gaiden: Kuinaki Sentaku,2015,2,28,ova,finished
2680,One Punch Man,2015,12,24,tv,finished
9447,Gintama: THE SEMI-FINAL,2021,2,24,special,finished
3445,Kono Oto Tomare! 2,2019,13,24,tv,finished
1522,Zoku Natsume Yuujinchou,2009,13,24,tv,finished
3686,Horimiya,2021,13,24,tv,finished
6471,Doukyuusei,2016,1,60,movie,finished
3282,Bungou Stray Dogs 3,2019,12,24,tv,finished
1658,Katanagatari,2010,12,50,tv,finished
894,Baccano!,2007,13,25,tv,finished
2590,SHIROBAKO,2014,24,24,tv,finished
15834,GOTCHA!,,1,3,music,finished
1616,Rainbow: Nisha Rokubou no Shichinin,2010,26,23,tv,finished
3561,Dr. STONE: STONE WARS,2021,11,24,tv,finished
3584,Fumetsu no Anata e,2021,20,25,tv,finished
745,Naruto: Shippuuden,2007,500,23,tv,finished
91,Hunter x Hunter,1999,62,23,tv,finished
3697,Yuukoku no Moriarty Part 2,2021,13,24,tv,finished
2852,Bungou Stray Dogs 2,2016,12,24,tv,finished
3537,Kingdom 3,2020,26,25,tv,finished
6069,Steins;Gate: Fuka Ryouiki no Déjà vu,2013,1,90,movie,finished
2796,Hibike! Euphonium 2,2016,13,24,tv,finished
1592,Cross Game,2009,50,23,tv,finished
12533,Violet Evergarden: Kitto "Ai" wo Shiru Hi ga Kuru no Darou,2018,1,34,ova,finished
2581,Fate/stay night: Unlimited Blade Works 2nd Season,2015,13,24,tv,finished
1101,Gyakkyou Burai Kaiji: Ultimate Survivor,2007,26,23,tv,finished
13936,Wu Liuqi: Zui Qiang Faxingshi,,10,15,ona,finished
13447,Modao Zushi,,15,24,ona,finished
5502,Kara no Kyoukai: Satsujin Kousatsu (Kou),2009,1,121,movie,finished
2716,Boku dake ga Inai Machi,2016,12,24,tv,finished
2555,Barakamon,2014,12,22,tv,finished
4955,Hotaru no Haka,1988,1,88,movie,finished
2584,JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,2015,24,24,tv,finished
8936,Mushishi Zoku Shou: Odoro no Michi,2014,1,47,special,finished
3460,Non Non Biyori: Nonstop,2021,12,24,tv,finished
14099,Holo no Graffiti,2019,136,2,ona,releasing
9272,Saiki Kusuo no Ψ-nan: Kanketsu-hen,2019,1,55,special,finished
3751,Vivy: Fluorite Eye’s Song,2021,13,23,tv,finished
2849,Senki Zesshou Symphogear XV,2019,13,24,tv,finished
1943,Fate/Zero,2011,13,24,tv,finished
1954,Usagi Drop,2011,11,22,tv,finished
1956,Nichijou,2011,26,23,tv,finished
1937,Bakuman. 2,2011,25,24,tv,finished
7312,Given Movie,2020,1,60,movie,finished
7142,Tenki no Ko,2019,1,115,movie,finished
6724,Made in Abyss: Hourou Suru Tasogare,2019,1,110,movie,finished
118,Slam Dunk,1993,101,23,tv,finished
2506,Kiseijuu: Sei no Kakuritsu,2014,24,24,tv,finished
2678,Diamond no Ace: Second Season,2015,51,24,tv,finished
4885,Cowboy Bebop: Tengoku no Tobira,2001,1,115,movie,finished
3363,Dr. STONE,2019,24,24,tv,finished
1897,Mahou Shoujo Madoka☆Magica,2011,12,24,tv,finished
6675,Liz to Aoi Tori,2018,1,90,movie,finished
260,Yuu☆Yuu☆Hakusho,1992,112,24,tv,finished
6657,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,2018,1,115,movie,finished
284,Koukaku Kidoutai: Stand Alone Complex,2002,26,25,tv,finished
3096,Gintama.: Porori-hen,2017,13,24,tv,finished
1759,K-ON!!,2010,26,24,tv,finished
3365,Diamond no Ace Act II,2019,52,24,tv,finished
1467,Major S5,2009,25,24,tv,finished
6513,Kuroshitsuji: Book of the Atlantic,2017,1,101,movie,finished
3688,SK∞,2021,12,24,tv,finished
2371,Gin no Saji 2,2014,11,24,tv,finished
2910,Boku no Hero Academia 2,2017,25,24,tv,finished
6597,Yoru wa Mijikashi Arukeyo Otome,2017,1,93,movie,finished
3606,Mairimashita! Iruma-kun 2,2021,21,25,tv,finished
276,Shoujo Kakumei Utena,1997,39,23,tv,finished
3610,86: Eighty Six,2021,11,24,tv,finished
893,Mononoke,2007,12,22,tv,finished
6183,Kono Sekai no Katasumi ni,2016,1,130,movie,finished
6341,Girls und Panzer (Movie),2015,1,120,movie,finished
2858,Kono Subarashii Sekai ni Shukufuku wo! 2,2017,10,23,tv,finished
2107,Sakamichi no Apollon,2012,12,22,tv,finished
6632,Chuunibyou demo Koi ga Shitai!: Take on Me,2018,1,98,movie,finished
9500,Hunter x Hunter OVA,2002,8,24,ova,finished
3892,Komi-san wa, Komyushou desu.,2021,12,24,tv,releasing
893,Mononoke,2007,12,22,tv,finished
2858,Kono Subarashii Sekai ni Shukufuku wo! 2,2017,10,23,tv,finished
3606,Mairimashita! Iruma-kun 2,2021,21,25,tv,finished
1967,Gyakkyou Burai Kaiji: Hakairoku-hen,2011,26,24,tv,finished
7219,Boku no Hero Academia the Movie: Heroes:Rising,2019,1,104,movie,finished
7122,One Piece Stampede,2019,1,101,movie,finished
3610,86: Eighty Six,2021,11,24,tv,finished
232,Versailles no Bara,1979,40,23,tv,finished
2586,Kamisama Hajimemashita◎,2015,12,24,tv,finished
1933,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,2011,11,22,tv,finished
2371,Gin no Saji 2,2014,11,24,tv,finished
4956,Mimi wo Sumaseba,1995,1,111,movie,finished
